_sim,151.271,150.871,150.291,150.018,151.279,150.876,150.29,150.016,151.292,150.891,150.305,149.992
obs,151.2829,150.8792,150.2943,150.0196,151.2967,150.8946,150.3101,149.9963,151.3056,150.9023,150.3012,150.0099
_sim,151.28,150.876,150.29,150.016,151.293,150.891,150.305,149.992,151.301,150.898,150.295,150.004
obs,151.2967,150.8946,150.3101,149.9963,151.3056,150.9023,150.3012,150.0099,151.3174,150.8681,150.2963,150.0253
_sim,151.293,150.891,150.291,149.992,151.301,150.898,150.306,150.005,151.312,150.863,150.296,150.019
obs,151.3056,150.9023,150.3101,150.0099,151.3174,150.8681,150.3012,150.0253,151.3297,150.866,150.2963,150.0304
_sim,151.301,150.899,150.306,150.006,151.312,150.864,150.296,150.019,151.323,150.86,150.29,150.024
obs,151.3174,150.8681,150.3012,150.0253,151.3297,150.866,150.2963,150.0304,151.3436,150.8689,150.3047,150.021
_sim,151.312,150.864,150.291,150.02,151.324,150.861,150.298,150.025,151.336,150.863,150.302,150.013
obs,151.3297,150.866,150.3047,150.0304,151.3436,150.8689,150.31,150.021,151.3533,150.8683,150.3153,150.0359
_sim,151.324,150.861,150.298,150.025,151.337,150.863,150.303,150.014,151.346,150.862,150.306,150.028
obs,151.3436,150.8689,150.31,150.021,151.3533,150.8683,150.3153,150.0359,151.3335,150.8775,150.3174,150.0463
_sim,151.337,150.864,150.303,150.014,151.346,150.862,150.307,150.028,151.325,150.87,150.308,150.037
obs,151.3533,150.8683,150.3153,150.0359,151.3335,150.8775,150.3174,150.0463,151.3232,150.8741,150.3316,150.0413
_sim,151.347,150.863,150.304,150.029,151.326,150.871,150.308,150.038,151.314,150.866,150.308,150.031
obs,151.3335,150.8775,150.3153,150.0463,151.3232,150.8741,150.3174,150.0413,151.3339,150.8752,150.3316,150.0516
_sim,151.326,150.871,150.308,150.038,151.315,150.867,150.309,150.032,151.324,150.866,150.322,150.041
obs,151.3232,150.8741,150.3174,150.0413,151.3339,150.8752,150.3316,150.0516,151.3421,150.8798,150.3363,150.0627
_sim,151.315,150.867,150.309,150.033,151.325,150.867,150.31,150.042,151.332,150.871,150.322,150.051
obs,151.3339,150.8752,150.3174,150.0516,151.3421,150.8798,150.3316,150.0627,151.3439,150.8797,150.3363,150.0693
_sim,151.326,150.868,150.311,150.043,151.333,150.872,150.323,150.052,151.333,150.87,150.327,150.057
obs,151.3421,150.8798,150.3316,150.0627,151.3439,150.8797,150.3363,150.0693,151.3472,150.889,150.3404,150.0709
_sim,151.333,150.872,150.324,150.053,151.334,150.871,150.327,150.058,151.335,150.879,150.33,150.058
obs,151.3439,150.8797,150.3363,150.0693,151.3472,150.889,150.3404,150.0709,151.3535,150.8986,150.3475,150.0854
_sim,151.335,150.871,150.328,150.059,151.337,150.88,150.331,150.059,151.341,150.888,150.337,150.072
obs,151.3472,150.889,150.3404,150.0709,151.3535,150.8986,150.3475,150.0854,151.3622,150.9095,150.3647,149.8159
_sim,151.336,150.88,150.331,150.059,151.341,150.888,150.337,150.072,151.348,150.897,150.352,149.8
obs,151.3535,150.8986,150.3475,150.0854,151.3622,150.9095,150.3647,149.8159,151.3703,150.9175,150.3646,149.797
_sim,151.341,150.887,150.337,150.072,151.348,150.897,150.352,149.799,151.355,150.903,150.35,149.781
obs,151.3622,150.9095,150.3647,149.8159,151.3703,150.9175,150.3646,149.797,151.3774,150.9268,150.376,149.8413
_sim,151.348,150.897,150.352,149.797,151.354,150.903,150.35,149.781,151.36,150.911,150.36,149.821
obs,151.3703,150.9175,150.3646,149.797,151.3774,150.9268,150.376,149.8413,151.388,150.9331,150.3718,149.765
_sim,151.355,150.904,150.351,149.783,151.361,150.912,150.361,149.822,151.37,150.916,150.356,149.746
obs,151.3774,150.9268,150.376,149.8413,151.388,150.9331,150.3718,149.765,151.3988,150.9441,150.1483,149.745
_sim,151.361,150.912,150.361,149.824,151.37,150.917,150.354,149.744,151.379,150.926,150.129,149.723
obs,151.388,150.9331,150.3718,149.765,151.3988,150.9441,150.1483,149.745,151.4073,150.9521,150.1568,149.7188
_sim,151.37,150.917,150.355,149.745,151.379,150.926,150.13,149.723,151.386,150.932,150.136,149.695
obs,151.3988,150.9441,150.1483,149.745,151.4073,150.9521,150.1568,149.7188,151.4169,150.9609,150.1259,149.6956
_sim,151.38,150.927,150.13,149.724,151.386,150.933,150.137,149.695,151.394,150.94,150.104,149.67
obs,151.4073,150.9521,150.1568,149.7188,151.4169,150.9609,150.1259,149.6956,151.426,150.9701,150.0867,149.6259
_sim,151.387,150.934,150.105,149.696,151.395,150.941,150.064,149.671,151.402,150.948,150.044,149.599
obs,151.4169,150.9609,150.0867,149.6956,151.426,150.9701,150.0687,149.6259,151.4337,150.978,150.0701,149.6239
_sim,151.396,150.942,150.045,149.673,151.403,150.949,150.045,149.601,151.409,150.955,150.01,149.597
obs,151.426,150.9701,150.0701,149.6259,151.4337,150.978,150.0375,149.6239,151.4422,150.8627,150.0006,149.6346
_sim,151.404,150.95,150.045,149.601,151.41,150.956,150.011,149.597,151.416,150.839,149.972,149.606
obs,151.4337,150.978,150.0375,149.6239,151.4422,150.8627,150.0006,149.6346,151.4526,150.8255,149.9969,149.6241
_sim,151.411,150.956,150.011,149.598,151.417,150.839,149.973,149.607,151.426,150.8,149.967,149.594
obs,151.4422,150.8627,150.0006,149.6346,151.4526,150.8255,149.9969,149.6241,151.4613,150.8038,149.9794,149.5814
